text,created_at,updated_at,original,paredao
mesma lais chorou queria conhecer familia arthur kkkkkkkkkkkk,15/03/2022 02:53:35,14/03/2022 23:53:48,"Essa e a mesma Lais que chorou e disse que queria conhecer a familia do Arthur???kkkkkkkkkkkk

#BBB22",
bbb21 pano passado insuportavel fiuk ano infiel arthur globo contrata ator ardilos,15/03/2022 04:53:47,15/03/2022 01:53:48,"RT @eslove_ceara: BBB21 o pano era passado para insuportavel do Fiuk, esse ano e para o infiel do Arthur. 
A Globo so contrata ator ardilos...",
professora biologia tambem aula interpretacao texto estar acima qualquer coisa passar cima,15/03/2022 04:53:46,15/03/2022 01:53:48,"RT @a_jessilane: Professora de Biologia tambem da aula de interpretacao de texto! ""Estar aqui ACIMA de qualquer coisa nao e PASSAR POR CIMA...",
finalmente twitter percebeu natalia chata,15/03/2022 04:53:46,15/03/2022 01:53:48,RT @legiacomitti: Finalmente o Twitter percebeu que a Natalia e chata #bbb22,
lucas traiu arthur sendo artur joga sozinho,15/03/2022 04:53:46,15/03/2022 01:53:48,Como que o Lucas traiu o Arthur sendo que Artur joga sozinho  #bbb22,
povo ilude arthur igual maira cardi,15/03/2022 04:53:46,15/03/2022 01:53:48,o povo se ilude com esse arthur igual a maira cardi ai ai kkkk #bbb22,
favorito consigo consegui identificar ninguem,15/03/2022 04:53:46,15/03/2022 01:53:48,RT @BarbaraSaryne: Voces tem favorito? Eu nao consigo. Nao consegui me identificar com ninguem #BBB22,
lina mentiu dizer forma sutil arthur manipular publico isolado sozinho faz,15/03/2022 04:53:45,15/03/2022 01:53:48,"RT @juamadov: Lina nao mentiu, so quis dizer de forma sutil q arthur quer manipular o publico de q ele e isolado, sozinho.. e ele faz isso...",
dg cara joga junto inicio potencial grande postura maneira,15/03/2022 04:53:45,15/03/2022 01:53:48,"DG e um cara que nao joga junto desde o inicio. Acho que ele tinha potencial grande, mas essa postura dele nao e maneira! #BBB22 #RedeBBB",
lina observadora impecavel analisa precisao chega assustar ofender destacando qu,15/03/2022 04:53:45,15/03/2022 01:53:48,RT @ZAMENZA: A Lina e uma observadora impecavel. Ela analisa cada um com uma precisao que chega a assustar. E sem ofender. Destacando as qu...,
scooby jessi gritando uo justificativa grita conta jeito vida estra,15/03/2022 04:53:45,15/03/2022 01:53:48,"RT @_alineramos: Scooby falando da Jessi gritando ja e uo. Agora essa justificativa de que ela grita por conta de ""jeito de vida"" foi estra...",
arthur posiciona traisse faria pedir desculpas,15/03/2022 04:53:45,15/03/2022 01:53:48,"RT @djbatata: Arthur se posiciona tao bem, que se ele me traisse, ele faria eu pedir desculpas.#BBB22",
mascara arthur caiu completamente nesse jogo discordia,15/03/2022 04:53:45,15/03/2022 01:53:48,RT @tuitaguil: A mascara do arthur caiu completamente nesse jogo da discordia #BBB22,
resumindo pessoas fulas apenas fato boa memoria esquecer nada falam,15/03/2022 04:53:45,15/03/2022 01:53:48,RT @eucleogarcia: RESUMINDO: As pessoas estao fulas com @Aguiarthur apenas pelo fato dele ter boa memoria e nao esquecer de nada que falam...,
cade torcida arthur deem fav vamos seguir,15/03/2022 04:53:44,15/03/2022 01:53:48,RT @Crislino72S: Cade a torcida do Arthur? deem fav e rt aqui! VAMOS NOS SEGUIR!   #BBB22,
pa tentando entregar coracao linna quero sei coracao quero corpo inteiro kkkkkkkkkk passando mal,15/03/2022 04:53:44,15/03/2022 01:53:48,"PA: Estou tentando te entregar meu coracao 
Linna: eu nao quero sei coracao, eu QUERO SEU CORPO INTEIRO 
KKKKKKKKKK EU TO PASSANDO MAL #BBB22 https://t.co/azJPFlVTXm",
brincadeiras bobas gostosas lina pa,15/03/2022 04:53:44,15/03/2022 01:53:48,"RT @ZAMENZA: ""Brincadeiras bobas e gostosas.""

LINA E PA. #BBB22 https://t.co/I66aHSVGQB",
arthur bom cinico mania interromper brevemente pessoa discutindo camufla abuso,15/03/2022 04:53:44,15/03/2022 01:53:48,"RT @antoniotabet: Arthur, como bom cinico, tem a mania de interromper muito brevemente a pessoa com a qual esta discutindo. Camufla o abuso...",
maior plost twist pa lina ficando incrivel hahahahhahaha,15/03/2022 04:53:44,15/03/2022 01:53:48,"RT @camaroteepipoca: O maior plost twist e PA e Lina ficando, seria tao incrivel hahahahhahaha #bbb22",
vou dia reclamar sungas chegou 1 milhao insta desumano,15/03/2022 04:53:43,15/03/2022 01:53:48,EU VOU TODO DIA RECLAMAR QUE O SUNGAS NAO CHEGOU NO 1 MILHAO NO INSTA. DESUMANO! #bbb22,
brasil tirou jade relacao acontecer pa lina,15/03/2022 04:53:43,15/03/2022 01:53:48,"RT @ZAMENZA: ""O Brasil tirou a Jade pra nossa relacao acontecer, PA."" (Lina)
#BBB22 https://t.co/ymmozzdG1n",
eslo dizendo arthur pessoa sabe colocar todas situacoes favor,15/03/2022 04:53:42,15/03/2022 01:53:48,RT @NazareAmarga: Eslo dizendo que o Arthur e uma pessoa que sabe colocar todas as situacoes ao favor dele #BBB22,
vi jogo discordia vi lina deixou fas arthur putokkkkkkkkkkkkkk,15/03/2022 04:53:42,15/03/2022 01:53:48,nao vi o jogo da discordia mas vi que a Lina deixou os fas do Arthur putoKKKKKKKKKKKKKK #BBB22,
jogo ninguem pode chamar arthur vitimista ficou claro fato perseguido,15/03/2022 04:53:41,15/03/2022 01:53:48,"Acho que depois do jogo de hoje, ninguem mais pode chamar o Arthur de vitimista pq ficou claro que ele e de fato perseguido! #BBB22",
pa linna lider vou cinema,15/03/2022 04:53:41,15/03/2022 01:53:48,"PA: ""Linna, se eu for lider eu vou no cinema so com vc"" kkkk #BBB22",
paozinho votaram nele jogo discordia falam kkkkkkkkkkkk moco fazia jade,15/03/2022 04:53:41,15/03/2022 01:53:48,"RT @lagustamidia: O PAOZINHO falando pq nao votaram nele e no jogo da discordia falam dele kkkkkkkkkkkk... 
Moco voce fazia isso pra jade Q...",
sim voltou temida todos bbbs,15/03/2022 04:53:41,15/03/2022 01:53:48,"RT @updatechartuc: Sim, ela voltou, a mais temida de todos os BBBs #BBB22 https://t.co/bH0bKto0bD",
jessi discutindo scooby deve lembrar alunos sala aula,15/03/2022 04:53:40,15/03/2022 01:53:48,RT @bchartsnet: A Jessi discutindo com o Scooby deve lembrar dos alunos dela em sala de aula  #BBB22,
arthur sabe incoerente ontem dg recebeu 5 votos hj jogo discordia ninguem nada falar ca,15/03/2022 04:53:40,15/03/2022 01:53:48,"RT @bbb_storm: Arthur: ""Sabe o que e muito incoerente? Ontem o DG recebeu 5 votos e hj no jogo da discordia ninguem tem nada p/ falar do ca...",
massa veey,15/03/2022 04:53:40,15/03/2022 01:53:48,"P.A. e muito massa, veey! 
#BBB22",
arthur inteligente fatl todos outros serem burros ajuda demais,15/03/2022 04:53:40,15/03/2022 01:53:48,"RT @TheSpiderKong: O Arthur e muito inteligente, mas o fatl de todos os outros serem muito burros ajuda ele demais 

#BBB22",
natalia arthur faz coitado chorou pos jogo discordia semanas atras poupa,15/03/2022 04:53:39,15/03/2022 01:53:48,"RT @juarthurbbb: Natalia ja ta falando q o Arthur se faz de coitado, mas quem chorou pos jogo da discordia semanas atras foi quem? Me poupa...",
lina pa quero coracao quero corpo inteiro hahaha juntas irma,15/03/2022 04:53:39,15/03/2022 01:53:48,"Lina: PA, eu nao quero seu coracao, quero seu corpo inteiro! Hahaha estamos juntas irma #BBB22",
lina brasil tirou jade viva historia brasil brincadeirinhas bobas gosto,15/03/2022 04:53:39,15/03/2022 01:53:48,"RT @FOFOQUEl: Lina: ""O Brasil tirou a Jade para que a gente viva a nossa historia, P.A. O Brasil quer isso!""

Brincadeirinhas bobas e gosto...",
genteeem conchinha simplesmente ponto alto shippando otimos historia,15/03/2022 04:53:39,15/03/2022 01:53:48,"Genteeem, a @linndaquebrada e o @iampauloandre de conchinha agora, e simplesmente o ponto alto do BBB, to ate shippando, estao otimos nessa historia  #BBB22",
perdido personagem scooby queria ir paredao indicado lucas chama lucas traidor kkkkkkkkkk,15/03/2022 04:53:39,15/03/2022 01:53:48,"RT @dizzego: Perdido no personagem, Scooby disse que queria ir pro paredao indicado pelo Lucas e agora chama o Lucas de traidor. KKKKKKKKKK...",
baixo povo pegar situacoes aconteceram participante abalar jogo povo entende pessoa vota participante ficar sair campeao ninguem votando pessoa canonizada santo,15/03/2022 04:53:39,15/03/2022 01:53:48,"@bomorais Acho tao baixo o povo pegar situacoes que aconteceram aqui fora com o participante para abalar o jogo dele  o que esse povo nao entende e que a pessoa vota em um participante pra ficar sair ou ser campeao ninguem esta votando para a pessoa ser canonizada como santo.
 #BBB22",
brasil historia pa,15/03/2022 04:53:39,15/03/2022 01:53:48,"RT @bbb: ""O Brasil quer a nossa historia, PA""  #RedeBBB #BBB22 https://t.co/aZuYHhXXRI",
pos jogo discordia comadres lucas jantando feijoada meninos jogando porrinha varanda lollipopers quarto,15/03/2022 04:53:38,15/03/2022 01:53:48,"RT @bifedurodarita: Pos jogo da discordia:

Comadres e Lucas jantando feijoada
Os meninos jogando porrinha na varanda
Lollipopers no quarto...",
lina pa engracados juntos,15/03/2022 04:53:38,15/03/2022 01:53:48,Lina e PA sao muito engracados juntos #bbb22,
acontecendo lina,15/03/2022 04:53:38,15/03/2022 01:53:48,"Gente o que esta acontecendo , entre Lina e p.a kkkkkkkk #BBB22",
pa linna energia flerte fica incomodando cutucando piada besta pirracando nada casada cachorro comprando pizza bons vinhos,15/03/2022 04:53:38,15/03/2022 01:53:48,"PA e Linna e muito a minha energia do flerte: fica se incomodando, cutucando, de piada besta, pirracando, e do nada ta la casada, com cachorro, comprando pizza e bons vinhos. #bbb22",
fugiria arthur jogo discordia jantada cara sempre sai quanto chamam,15/03/2022 04:53:38,15/03/2022 01:53:48,RT @BarbaraSaryne: Eu fugiria do Arthur no jogo da discordia para nao ser jantada por ele. O cara sempre se sai bem. Quanto mais chamam o A...,
precisamos arthur bebado vezes,15/03/2022 04:53:37,15/03/2022 01:53:48,RT @falatumandita: Precisamos do Arthur bebado mais vezes!  #bbb22 https://t.co/8vd03rAq0U,
apos jogo discordia lucas levou bronca seguido combinado rs ajuda ont,15/03/2022 04:53:37,15/03/2022 01:53:48,"RT @qgaguiarthur: Apos o jogo da discordia Lucas levou uma ""bronca"" por nao ter seguido o combinado (rs) mesmo depois da ajuda que teve ont...",
povo defendendo artur demais colocaram cabresto cara tiram pqp fico revoltada ngm,15/03/2022 04:53:36,15/03/2022 01:53:48,RT @biavente: Gente o  povo defendendo o Artur ta demais..vcs colocaram um cabresto pra esse cara e nao tiram..pqp eu fico  revoltada q NGM...,
dia chorou arthur lais vish,15/03/2022 04:53:36,15/03/2022 01:53:48,"RT @chicobarney: ""Aquele dia la que vc chorou"". Arthur pra Lais. Vish. #BBB22",
pa inacreditavel,15/03/2022 04:53:36,15/03/2022 01:53:48,RT @ZAMENZA: O PA e inacreditavel. #BBB22 https://t.co/QLFu5WbxMv,
linna pa quero coracao quero corpo inteiro,15/03/2022 04:53:35,15/03/2022 01:53:48,"Linna para o PA: ""Eu nao quero seu coracao, quero seu corpo inteiro""

https://t.co/oVu3t6qnHo #BBB22 #RedeBBB",
vyni pode chato forcado jamais vou torcer contra favor outro chato playboy bolsomi,15/03/2022 04:53:35,15/03/2022 01:53:48,"RT @mr_littlewhite: Vyni pode ser chato e forcado, mas jamais que eu vou torcer contra ele e a favor de outro chato e que e playboy bolsomi...",
brasil historia pa,15/03/2022 04:53:35,15/03/2022 01:53:48,"RT @bbb: ""O Brasil quer a nossa historia, PA""  #RedeBBB #BBB22 https://t.co/aZuYHhXXRI",
venca arthur fav linna,15/03/2022 04:53:35,15/03/2022 01:53:48,"RT @updatechartuc: QUEM VOCE QUER QUE VENCA O #BBB22?

RT: Arthur
FAV: Linna https://t.co/yQ9mhGUKxY",
natalia sempre mete aonde chamada tornou extremamente desnecessaria chata chata sinal,15/03/2022 04:53:35,15/03/2022 01:53:48,Natalia sempre se mete aonde nao e chamada! Ela se tornou extremamente desnecessaria e chata. Muito chata por sinal. #BBB22 #RedeBBBB #jogodadiscordia,
arthur lucas pedir desculpas melhor cara lais brilho gata sumindo show defenden,15/03/2022 04:53:35,15/03/2022 01:53:48,"RT @PaollaSinceraa: Arthur fez Lucas pedir desculpas, o melhor e a cara da Lais kkkkkk o brilho da gata sumindo  foi la da show defenden...",
brasil tirou jade viva historia brasil lina,15/03/2022 04:53:35,15/03/2022 01:53:48,"RT @CentralReaIity: ""O Brasil tirou a Jade para que a gente viva a nossa historia, P.A. O Brasil quer isso!"" (Lina) #BBB22 https://t.co/Jil...",
brincadeiras bobas gostosas arthur tentando dormir,15/03/2022 04:53:34,15/03/2022 01:53:48,Essas brincadeiras bobas e gostosas e o Arthur tentando dormir #BBB22,
ve,15/03/2022 04:53:33,15/03/2022 01:53:48,RT @ThainMatos8: O que eu disse... So nao ve quem nao quer #BBB22,
brasil tirou jade relacao acontecer pa lina,15/03/2022 04:53:33,15/03/2022 01:53:48,"RT @ZAMENZA: ""O Brasil tirou a Jade pra nossa relacao acontecer, PA."" (Lina)
#BBB22 https://t.co/ymmozzdG1n",
problema mundo gosta pao assume alguns comem escondido,15/03/2022 04:53:33,15/03/2022 01:53:48,"O problema e que todo mundo GOSTA DE PAO E NAO ASSUME. 

Alguns comem escondido. 

#BBB22",
jadeeeeeeeeeeeee kkkkkkkkkkkk,15/03/2022 04:53:33,15/03/2022 01:53:48,VAI JADEEEEEEEEEEEEE KKKKKKKKKKKK #BBB22 https://t.co/3MZADvUKvg,
dia sendo protagonista,15/03/2022 04:53:33,15/03/2022 01:53:48,RT @centralarthurof: Mais um dia ele sendo protagonista! #BBB22 #TeamArthur https://t.co/SfudD1Fs2k,
jantada arthur insuportavel lais macetou,15/03/2022 04:53:33,15/03/2022 01:53:48,RT @ninadrii: a jantada do Arthur na insuportavel da Lais kkkkkkkkk macetou #bbb22 https://t.co/eJSPQ7xi5P,
amor odio,15/03/2022 04:53:33,15/03/2022 01:53:48,RT @CentralReaIity: Amor ou odio? #BBB22 https://t.co/Q3bJuZGL2G,
paulina on,15/03/2022 04:53:33,15/03/2022 01:53:48,Paulina ta on KKKK #bbb22,
segundo minas arthur manipulador arthur manipulador coerente arthur manipulador transparente,15/03/2022 04:53:33,15/03/2022 01:53:48,"RT @Arlequinahope: Segundo as minas:
-Arthur e um manipulador 
- Arthur e um manipulador coerente 
-Arthur e um manipulador transparente...",
julietto gostou lais chamou julietto juliette arthur manipulador sim,15/03/2022 04:53:33,15/03/2022 01:53:48,"RT @_LucasGregorioo: O JULIETTO NAO GOSTOU QUE A LAIS CHAMOU JULIETTO DE JULIETTE 

Esse Arthur e manipulador sim  #bbb22 https://t.co/f8d...",
mds vergonha alheia vyni eslo dizendo vindo antes ju gil pessoas iriam dizer,15/03/2022 04:53:33,15/03/2022 01:53:48,"RT @Mait77330214: Mds, que vergonha alheia! O Vyni e a Eslo dizendo que se eles tivessem vindo antes da Ju e do Gil, as pessoas iriam dizer...",
nunca vi scooby falar tanto jogo discordia,15/03/2022 04:53:33,15/03/2022 01:53:48,RT @NazareAmarga: Nunca vi o Scooby falar TANTO no jogo da discordia #BBB22,
lais pediu desculpas arthur dias paredao passou atacando passo mal,15/03/2022 04:53:33,15/03/2022 01:53:48,"RT @vaidesmaiar: A Lais pediu desculpas pro Arthur esses dias, o Paredao passou ja esta atacando ele, passo mal #BBB22",
arthur bom ponto var consegue pegar cara,15/03/2022 04:53:33,15/03/2022 01:53:48,RT @BarbaraSaryne: O Arthur e muito bom. Nao da ponto sem no. O VAR nao consegue pegar o cara #BBB22,
tambem time comprar curso oratoria retorica brabo demais doido,15/03/2022 04:53:32,15/03/2022 01:53:48,RT @jonjon: tambem sou do time que vai comprar o curso de oratoria e retorica do @Aguiarthur  brabo demais ta doido #BBB22,
lina sempre raxa jogos discordia,15/03/2022 04:53:32,15/03/2022 01:53:48,RT @babi: A Lina sempre raxa nos jogos da discordia #BBB22  https://t.co/btGATnUzun,
artur perder enredo saida jade vendo povo nunca assistiu seguem martelando,15/03/2022 04:53:32,15/03/2022 01:53:48,"RT @DedeIntocavel: ""Artur vai perder o enredo com a saida da Jade""  Vai vendo. Povo vai pro BBB e nunca assistiu ne? Seguem martelando ele...",
arthur varios paredoes nesta berlinda assim protagonista jogo discordia,15/03/2022 04:53:31,15/03/2022 01:53:48,"RT @BarbaraSaryne: O Arthur ja foi para varios paredoes. Ele nao esta nesta berlinda e, ainda assim, e o protagonista do jogo da discordia....",
primeiro camarote campea kd torcida arthur deem fav vamos seguir,15/03/2022 04:53:31,15/03/2022 01:53:48,RT @DihBrum: Nosso primeiro camarote campea Kd a torcida do Arthur? deem fav e rt aqui! VAMOS NOS SEGUIR!   #BBB22,
amor odio,15/03/2022 04:53:31,15/03/2022 01:53:48,RT @CentralReaIity: Amor ou odio? #BBB22 https://t.co/Q3bJuZGL2G,
lina pode sido coerente palavras arthur onda lollipopers melhor lina fica trio naty jessi melhor,15/03/2022 04:53:31,15/03/2022 01:53:48,"Lina pode ter sido coerente nas palavras com o Arthur, mas ela ta na onda dos lollipopers... Melhor nao Lina, fica no trio com Naty e Jessi que e melhor.

#BBB22",
lais basicamente publico otario manipulavel,15/03/2022 04:53:30,15/03/2022 01:53:48,RT @i4blanco: a lais basicamente disse que o publico e otario e manipulavel #BBB22 https://t.co/Ved4KardEL,
lina brasil tirou jade viva historia brasil brincadeirinhas bobas gosto,15/03/2022 04:53:30,15/03/2022 01:53:48,"RT @FOFOQUEl: Lina: ""O Brasil tirou a Jade para que a gente viva a nossa historia, P.A. O Brasil quer isso!""

Brincadeirinhas bobas e gosto...",
arthur bom cinico mania interromper brevemente pessoa discutindo camufla abuso,15/03/2022 04:53:30,15/03/2022 01:53:48,"RT @antoniotabet: Arthur, como bom cinico, tem a mania de interromper muito brevemente a pessoa com a qual esta discutindo. Camufla o abuso...",
comico arthur escolher placa traidor alguem rei lealdade,15/03/2022 04:53:29,15/03/2022 01:53:48,RT @Ludy_Franca: Ja e comico so do Arthur escolher a placa de Traidor pra alguem  o rei da lealdade  #BBB22 #jogodadiscordia https://t.co...,
pa prometendo leva lina cinema,15/03/2022 04:53:29,15/03/2022 01:53:48,PA prometendo q leva so a Lina para o cinema  #BBB22,
pedro scooby orgulho apoiar,15/03/2022 04:53:29,15/03/2022 01:53:48,RT @whomath: pedro scooby = orgulho de nao apoiar #bbb22 https://t.co/Df6NOVMVZF,
lina lais acha arthur comparou juliette dourado sim apenas citou,15/03/2022 04:53:29,15/03/2022 01:53:48,"RT @CentralReaIity: Lina falando pra Lais que nao acha que o Arthur se comparou com Juliette e Dourado, e sim que ele apenas citou. #BBB22...",
brasil historia pa,15/03/2022 04:53:29,15/03/2022 01:53:48,"RT @bbb: ""O Brasil quer a nossa historia, PA""  #RedeBBB #BBB22 https://t.co/aZuYHhXXRI",
impressionante pauta dentro arthur usando escada definitivamente aprenderam licao saida jade,15/03/2022 04:53:29,15/03/2022 01:53:48,#BBB22 Impressionante como a pauta la dentro e o Arthur. Estao usando ele de escada! Definitivamente nao aprenderam a licao com a saida da Jade! #ForaViny,#foravyni
engracado lais acha arrasando,15/03/2022 04:53:28,15/03/2022 01:53:48,RT @CentralReaIity: O mais engracado e que a Lais acha que ela ta arrasando  #BBB22,
lina pa quero coracao quero corpo inteiro hahahah,15/03/2022 04:53:28,15/03/2022 01:53:48,"Lina: PA eu nao quero seu coracao, quero seu corpo inteiro. hahahah #BBB22 https://t.co/9pAxfB6Ebh",
coisa irrita nesse elenco nome jogo jogo discordia toda vez pessoas querem povo levem algo negativo entao nome jogo errado batem peito elenco ficam guerra fria,15/03/2022 04:53:28,15/03/2022 01:53:48,"Uma coisa que me irrita nesse elenco e que o nome do Jogo e jogo da discordia e toda vez as pessoas querem que o povo levem como algo que nao e negativo? Entao o nome do jogo ta errado ne depois batem no peito esse elenco todo ficam numa guerra fria.
#BBB22",
macetou classe habla natalia,15/03/2022 04:53:28,15/03/2022 01:53:48,RT @grunetto: ELA MACETOU COM CLASSE COMO HABLA ESSA NATALIA #BBB22  https://t.co/Krc0aMIy1B,
brasil historia pa,15/03/2022 04:53:28,15/03/2022 01:53:48,"RT @bbb: ""O Brasil quer a nossa historia, PA""  #RedeBBB #BBB22 https://t.co/aZuYHhXXRI",
move maneira pode pessoas achem jogando sozinho arthur,15/03/2022 04:53:27,15/03/2022 01:53:48,"RT @ZAMENZA: ""Voce move de uma maneira que pode fazer com o que as pessoas la fora achem que voce esta jogando sozinho e nao esta, Arthur.""...",
pa,15/03/2022 04:53:27,15/03/2022 01:53:48,O PA kkkkkkkkk  #BBB22,
brasil historia pa,15/03/2022 04:53:27,15/03/2022 01:53:48,"RT @bbb: ""O Brasil quer a nossa historia, PA""  #RedeBBB #BBB22 https://t.co/aZuYHhXXRI",
chorou lais hahahhaha,15/03/2022 04:53:27,15/03/2022 01:53:48,"RT @vaidesmaiar: ""Voce chorou la, Lais"" HAHAHHAHA #BBB22",
pa maldade tralha lina tralha metralha scooby eitaaa porra tralha metralha tendeu,15/03/2022 04:53:27,15/03/2022 01:53:48,"PA: ""nao tem sem maldade pra uma tralha como voce""
lina: ""se eu sou tralha, voce e metralha""
scooby: ""EITAAA PORRA, 'SE EU SOU TRALHA, VOCE METRALHA', TENDEU?""
#BBB22",
arthur provoca odio nunca mulher provoca amor nunca meio termo jogo discordia arthur lais,15/03/2022 04:53:26,15/03/2022 01:53:48,"Ou o arthur provoca odio nunca mulher, ou provoca amor. Nunca e meio termo 

Jogo da discordia
Arthur
Lais
#BBB22",
venca arthur fav linna,15/03/2022 04:53:26,15/03/2022 01:53:48,"RT @updatechartuc: QUEM VOCE QUER QUE VENCA O #BBB22?

RT: Arthur
FAV: Linna https://t.co/yQ9mhGUKxY",
passando mal jessi faria igual,15/03/2022 04:53:26,15/03/2022 01:53:48,"passando mal com a jessi kkkk eu faria igual #bbb22
https://t.co/sKSEKxsTVU",
arthur bom cinico mania interromper brevemente pessoa discutindo camufla abuso,15/03/2022 04:53:26,15/03/2022 01:53:48,"RT @antoniotabet: Arthur, como bom cinico, tem a mania de interromper muito brevemente a pessoa com a qual esta discutindo. Camufla o abuso...",
nesse jogo discordia natalia educao intrometida,15/03/2022 04:53:26,15/03/2022 01:53:48,"Nesse jogo da discordia, Natalia foi sem educao e intrometida

 #BBB22",
enfrento todos problemas pa lina,15/03/2022 04:53:26,15/03/2022 01:53:48,"RT @ZAMENZA: ""Enfrento todos os problemas por voce, PA."" (Lina) #BBB22 https://t.co/hbRChs7Ela",
jessi chorando lina,15/03/2022 04:53:25,15/03/2022 01:53:48,RT @paiva: A JESSI CHORANDO E A LINA- #bbb22 https://t.co/TPOmnH1OuG,
adoro pa lina juntos odioooooo,15/03/2022 04:53:25,15/03/2022 01:53:48,"Eu adoro o PA e a Lina juntos
QUE ODIOOOOOO

#bbb22  #redebbb",
lais basicamente publico otario manipulavel,15/03/2022 04:53:25,15/03/2022 01:53:48,RT @i4blanco: a lais basicamente disse que o publico e otario e manipulavel #BBB22 https://t.co/Ved4KardEL,
lina informa coracao pa sim corpo inteiro,15/03/2022 04:53:25,15/03/2022 01:53:48,Lina informa que n quer o coracao do PA mas sim o seu corpo inteiro #BBB22 #RedeBBB,
arthur cuidado arrogancia prepotencia tres qu,15/03/2022 04:53:24,15/03/2022 01:53:48,"RT @nataliadeodato: ""Arthur, so tenha cuidado com sua arrogancia e prepotencia, nao e porque eu e voce fomos em tres, que a gente vai no qu...",
arthur lealdade aumentei volume,15/03/2022 04:53:24,15/03/2022 01:53:48,RT @anapaularenault: Arthur falando de lealdade. Ate aumentei o volume aqui #BBB22,
chamam arthur coitadinho consigo entender jogo discordia vao cima efeito mana,15/03/2022 04:53:24,15/03/2022 01:53:48,"RT @l1sboarafael: Chamam o Arthur de coitadinho, mas eu nao consigo entender porque todo jogo da discordia vao pra cima dele em efeito mana...",
lina faca voltar gostar pa quero saiaaaaa,15/03/2022 04:53:24,15/03/2022 01:53:48,"Lina, nao me faca voltar a gostar do PA, eu quero que ele saiaaaaa
#bbb22",
enfrento todos problemas pa lina,15/03/2022 04:53:24,15/03/2022 01:53:48,"RT @ZAMENZA: ""Enfrento todos os problemas por voce, PA."" (Lina) #BBB22 https://t.co/hbRChs7Ela",
lucas falou votar tiago propria festa verbalizou arthur poderia ficar chateado,15/03/2022 04:53:23,15/03/2022 01:53:48,RT @Dantinhas: O Lucas falou de votar no Tiago na propria festa e ainda verbalizou que o Arthur poderia ficar chateado #BBB22  https://t.co...,
sequencia,15/03/2022 04:53:23,15/03/2022 01:53:48,RT @paiva: essa sequencia  #bbb22 https://t.co/j4c5jNl1N4,
lina pa juntos evento,15/03/2022 04:53:23,15/03/2022 01:53:48,Lina e pa juntos e um evento #BBB22,
jantada arthur insuportavel lais macetou,15/03/2022 04:53:22,15/03/2022 01:53:48,RT @ninadrii: a jantada do Arthur na insuportavel da Lais kkkkkkkkk macetou #bbb22 https://t.co/eJSPQ7xi5P,
perdeu jade,15/03/2022 04:53:22,15/03/2022 01:53:48,Perdeu jade #BBB22 https://t.co/DLv2cfPI8S,
brasil tirou jade viva historia brasil lina,15/03/2022 04:53:22,15/03/2022 01:53:48,"""O Brasil tirou a Jade para que a gente viva a nossa historia, P.A. O Brasil quer isso!"" (Lina) #BBB22 https://t.co/JilHibzQfP",
lais desafiou arthur paredao fala agr chamou,15/03/2022 04:53:22,15/03/2022 01:53:48,"RT @ACJanjynhu: Gente nao foi a Lais que desafiou o Arthur pro paredao??? Como ela fala agr que ele que chamou ela ???
#BBB22 #arthuraguiar",
natalia arthur vitima lina jessi dizem faz vitima,15/03/2022 04:53:21,15/03/2022 01:53:48,RT @Leila11513091: Natalia falando que o Arthur quer se fazer de vitima mas Lina e Jessi dizem que ele nao se faz de vitima nao.  #BBB22,
arthur sabe incoerente ontem dg recebeu 5 votos hj jogo discordia ninguem nada falar ca,15/03/2022 04:53:21,15/03/2022 01:53:48,"RT @bbb_storm: Arthur: ""Sabe o que e muito incoerente? Ontem o DG recebeu 5 votos e hj no jogo da discordia ninguem tem nada p/ falar do ca...",
tirando viny amanha menos vibe,15/03/2022 04:53:21,15/03/2022 01:53:48,RT @luquinha: a gente tirando o viny amanha tem mais ou menos essa vibe aqui #BBB22 https://t.co/gXUIvHm3Nl,
ver jogo discordia vamos combinar coisa ranco lais tava jade,15/03/2022 04:53:21,15/03/2022 01:53:48,"RT @thfeliciano1: Fui ver o jogo da discordia, vamos combinar uma coisa: 

Eu to com muito mas ranco da Lais, do que eu tava da Jade.

A Na...",
brasil historia pa,15/03/2022 04:53:21,15/03/2022 01:53:48,"RT @bbb: ""O Brasil quer a nossa historia, PA""  #RedeBBB #BBB22 https://t.co/aZuYHhXXRI",
morro criticas cima arthur sempre mesmas coisas inteligente jogo coerente transparente mente cumpre acordos kkkkkkkkkkkkk,15/03/2022 04:53:21,15/03/2022 01:53:48,"Morro que as criticas em cima do arthur sao sempre as mesmas coisas ""voce e inteligente, seu jogo e coerente, voce e transparente, voce nao mente, cumpre com os acordos"" KKKKKKKKKKKKK #bbb22",
lucas falou votar tiago propria festa verbalizou arthur poderia ficar chateado,15/03/2022 04:53:21,15/03/2022 01:53:48,RT @Dantinhas: O Lucas falou de votar no Tiago na propria festa e ainda verbalizou que o Arthur poderia ficar chateado #BBB22  https://t.co...,
jade perdeu,15/03/2022 04:53:21,15/03/2022 01:53:48,"Jade perdeu mesmo ne?
Kkkkkk #BBB22 https://t.co/nBfdjbE63u",
arthur fica pedindo repetir falou enrole pede explica melhor is,15/03/2022 04:53:20,15/03/2022 01:53:48,"RT @ZAMENZA: ""Arthur fica pedindo pra gente repetir o que falou pq ele quer que a gente se enrole. Quando ele pede 'ah me explica melhor is...",
