text,created_at,updated_at,original,paredao
1 77 chupa pirulito porra tchau jade arthur aguiar caralho,15/03/2022 00:53:57,14/03/2022 21:54:05,"RT @httpsbigbrother: 1,77% 
CHUPA ESSE PIRULITO, PORRA!!
TCHAU JADE!!!

Aqui e Arthur Aguiar, caralho!!!  #BBB22 https://t.co/DMPguZ4Ysi",
conhece liniker oucam zero calmo goela baby 95 oucam tambem flutua johnny hooker assistam manhas,15/03/2022 00:53:56,14/03/2022 21:54:05,"RT @userpimenta: pra quem nao conhece a Liniker oucam zero, calmo, goela e baby 95. oucam tambem flutua do johnny  hooker. assistam ""manhas...",
verdades dificeis engolir ideia entrar camarote funcionou 2020 10 pessoas menos perdem oportunidade mudar d vida brasil 10 chances d novos gil s julietes prior s poderiamos conhecer perdidos nesse pais grande rico d cultura,15/03/2022 00:53:56,14/03/2022 21:54:05,"VERDADES DIFICEIS DE ENGOLIR

A ideia de entrar camarote so funcionou em 2020. Sao 10 pessoas a menos q perdem a oportunidade de mudar d vida no Brasil, 10 chances d novos Gil's, Julietes, Prior's q poderiamos conhecer perdidos nesse pais tao grande e rico d cultura.

#BBB22",
scooby recusando jogar jessi recusando jogar,15/03/2022 00:53:56,14/03/2022 21:54:05,"RT @BryannaNasck: Scooby se recusando a jogar: 

Jessi se recusando a jogar: 

#BBB22",
salto pa,15/03/2022 00:53:55,14/03/2022 21:54:05,RT @tracklist: O salto que o PA deu  #BBB22 https://t.co/C2fKEdOMJm,
conta ontem probleminha perdi todos contatos torcida sigam,15/03/2022 00:53:55,14/03/2022 21:54:05,"RT @RenataM83215648: Minha conta ontem teve um probleminha...perdi todos os "",contatos""..quem for torcida do @Aguiarthur  me sigam e e...",
lais gustavo sair sai junto querendo sair tudo jeito faltando empurraozinho entao paredao cair sabem,15/03/2022 00:53:55,14/03/2022 21:54:05,"Lais disse que se Gustavo sair, ela sai junto.

Ela ta querendo sair de tudo que jeito, so ta faltando um empurraozinho, entao no paredao que ela cair, ja sabem ne. #BbB22 https://t.co/P7jTtONSz4",
neste paredao tanto faz viny gustavo votem pedro scooby ficar perfil 100 scooby,15/03/2022 00:53:55,14/03/2022 21:54:05,"RT @BBPlay22: Neste paredao, tanto faz entre Viny e Gustavo. Votem para Pedro Scooby ficar no #BBB22 
Este perfil e 100% pro Scooby https:/...",
thau scooby,15/03/2022 00:53:55,14/03/2022 21:54:05,eu sou thau scooby e voces? #BbB22,
barao levou casal chernobyl cinema lider estreitem relacoes nasca alianca gustavo,15/03/2022 00:53:54,14/03/2022 21:54:05,RT @monni_tuiteira: Barao levou o casal Chernobyl pro cinema do lider... que se estreitem as relacoes e que nasca uma alianca pra que Gustavo...,
